name,reading,meaning
大地,だいち,１ 天に対する、地。また、広大な土地。２ JAXA（宇宙航空研究開発機構）が開発した陸域観測技術衛星の愛称。平成18年（2006）から平成23年（2011）まで5年3か月間運用され、全世界650万シーンを撮影。大規模災害の観測・情報提供、森林伐採監視・気候変動の影響監視などに成果をあげた。ALOS(エイロス)（Advanced Land Observing Satellite）。
台帳,だいちょう,１ 商店で、売買の金額などを記しておく帳簿。大福帳。２ ある物事の基礎的な事実を記載しておく帳簿。３ 歌舞伎の上演用脚本。せりふ・ト書きなどが毛筆で書かれたもの。台本。正本(しょうほん)。根本(ねほん)。大帳。
大同,だいどう,１ だいたい同じであること。２ 一つの目的のために多くの者が一つにまとまること。３ 中国山西省北部の炭鉱・工業都市。近郊に雲崗石窟(うんこうせっくつ)がある。人口、行政区153万（2000）。タートン。４ 平安初期、平城(へいぜい)天皇・嵯峨天皇の時の年号。806年5月18日～810年9月19日。
代読,だいどく,人に代わって読むこと。
台所,だいどころ,１ 家の中で食物の調理や炊事をする場所。厨(くりや)。勝手。炊事場。だいどこ。２ 会社・団体などの内部で、金銭の出し入れをする所。また、金銭上のやりくり。
代入,だいにゅう,代数式の中の文字を、特定の数や他の文字・式などで置き換えること。
大脳,だいのう,脳の主要部分。左右の大脳半球とそれを結ぶ脳梁(のうりょう)があり、半球の表面には多数のしわやひだがある。
代筆,だいひつ,本人に代わって書くこと。代書。
代表,だいひょう,１ 全体の状態や性質などを、そのもの一つだけでよく表すこと。また、そのもの。２ 機関やグループに代わって、その意思を外部に表すこと。また、その人。３ 全体の中から、すぐれたものまたは最適なものとして選ばれた人。４ 法人・団体に代わって意思を他に表示し、それを、法人・団体自身の行為として法律上の効果を発生させること。また、それをする人や機関。
代品,だいひん,代わりの品物。代物(だいぶつ)。
大分,だいぶ,１ 数量や程度がかなり多かったり進んでいたりすること。また、そのさま。相当。だいぶん。２ 思ったよりも数が多かったり、程度がはなはだしかったりするさま。相当。ずいぶん。だいぶん。
台本,だいほん,演劇・映画・放送などで、演出のもととなる、せりふやト書きなどを書いた本。脚本。
題名,だいめい,書物や作品の標題。
題目,だいもく,１ 書物や作品などの標題。２ 討議や研究などで、問題として取りあげる事柄。３ 日蓮宗で唱える「南無妙法蓮華経」の7字。４ （多く「お題目」の形で）口先だけで、実質のともなわないこと。
代役,だいやく,演劇・映画・放送などで、演じる予定の人に代わってその役を演じること。また、その人。
代用,だいよう,あるものに代えて別のものを使うこと。
代理,だいり,１ 本人に代わって事を処理すること。また、その人。２ ある人が、本人のために第三者に対して意思表示を行い、または第三者から意思表示を受けることによって、その法律効果が直接本人について生じること。法定代理・任意代理などがある。
楕円,だえん,二つの定点からの距離の和が一定な点の軌跡。二定点を楕円の焦点という。長円。
打開,だかい,困難な状態や行き詰まった事情などを切り開いて、解決の糸口をつけること。
唾棄,だき,つばを吐きすてること。転じて、非常に軽蔑して嫌うこと。
妥協,だきょう,対立した事柄について、双方が譲り合って一致点を見いだし、おだやかに解決すること。
諾意,だくい,承諾する意向。
濁音,だくおん,五十音図のカ・サ・タ・ハ行の仮名に濁音符「゛」を付けて表すガ・ザ・ダ・バの各行の音節。
諾諾,だくだく,他人の言葉にさからわないで承諾するさま。
濁点,だくてん,濁音であることを示すために、清音のかなの右肩に打つ二つの点。
諾否,だくひ,引き受けることと、断ること。承諾するかしないか、ということ。
濁流,だくりゅう,にごった水の、激しい流れ。
諾了,だくりょう,承知すること。了解すること。
打撃,だげき,１ 物を激しく打つこと。２ 思いがけず、または突然に心の痛手や物の損害を与えること。３ 野球で、打者が投手の投球を打つこと。バッティング。４ 物理学で、物体に、その位置が変わらないと見えるほどの短時間に作用する、非常に大きな力。
妥結,だけつ,利害の対立する二者が、同意に達して約束を結ぶに至ること。双方が互いに折れ合って、話がまとまること。
蛇行,だこう,１ 蛇がはうように、くねくねと左右に曲がって行くこと。２ 河川が曲がりくねって流れること。メアンダー。曲流。
打刻,だこく,１ 金属など硬いものに文字や数字を打ち記すこと。２ タイムレコーダーなどで時刻を打ち記すこと。
駄作,ださく,出来の悪い作品。取るに足りない作品。
山車,だし,祭礼のとき、引いて練り歩く屋台。人形や花などを飾りつける。やま。ほこ。
舵手,だしゅ,１ 船のかじをとる人。かじとり。２ ボートレースのコックス。
惰性,だせい,１ これまでの習慣や勢い。２ 外力が働かなければ、物体はその運動状態を保つという性質。
打席,だせき,野球で、バッターボックスのこと。また、そこに打者として立つこと。
打線,だせん,野球で、そのチームの打者の顔ぶれと、その力量。
蛇足,だそく,１ 余分なもの。不要のもの。なくてもよいもの。２ 自分の付け足しの言葉をへりくだっていう語。
駄駄,だだ,子供などが甘えてわがままを言うこと。
駄賃,だちん,１ 駄馬による運送の料金。転じて、品物の運送料。２ 使い走りなどの簡単な雑用に対して与える金品。
脱衣,だつい,衣服を脱ぐこと。だつえ。
奪回,だっかい,奪われたものを取り戻すこと。奪い返すこと。奪還。
脱会,だっかい,属していた会から抜けること。
奪還,だっかん,奪われたものを取り戻すこと。奪い返すこと。奪回。
脱却,だっきゃく,１ 捨て去ること。脱ぎ捨てること。２ ぬけ出ること。
脱臼,だっきゅう,骨の関節が外れること。
脱稿,だっこう,原稿を書きおえること。
脱穀,だっこく,稲・麦などの穀粒を穂から取り離すこと。
脱獄,だつごく,１ 囚人が牢獄や刑務所・拘置所などから逃げ出すこと。法律上は「逃走」という。破獄。ジェイルブレーク。２ スマートホンや家庭用ゲーム機などで、製造元が設けたソフトウエアの利用制限をユーザーが独自に外すこと。一般に、端末は、製造元が認可したアプリケーションソフトしか実行できないよう制限が施されているが、オペレーティングシステム上のセキュリティーホールを狙ってその制限を無効にすることで、脱獄アプリなどが利用できるようになる。製造元の利用規約などに反するため、端末が故障した際も保証が受けられなくなる。ジェイルブレーク。JB。
脱字,だつじ,文章や印刷物などで、書き落としたり組み落としたりした文字。
奪取,だっしゅ,奪い取ること。力ずくで取ること。
脱臭,だっしゅう,臭気を取り除くこと。
脱出,だっしゅつ,１ 危険な場所や好ましくない状態から抜け出すこと。２ 脱出 吉村昭の小説。脱出に収録。
脱水,だっすい,１ 水分を取り除くこと。２ 結晶水をもつ結晶から結晶水を除くこと。また化合物を分解して、水分子を取り除いたり、同種または異種の二分子から、水素イオンと水酸化物イオンを水として取り除いて、二分子を縮合させること。３ 体内の水分が欠乏すること。
脱税,だつぜい,納税義務者が故意に税額の一部または全部の申告をせず、納付を免れること。
脱線,だっせん,１ 汽車や電車などの車輪が線路からはずれること。２ 話や行為が本筋から横道にそれること。
脱走,だっそう,束縛されている場所から抜け出して逃げること。
脱退,だったい,属している団体・組織から抜けること。
脱着,だっちゃく,とりつけたり、とりはずしたりすること。着脱。
脱兎,だっと,逃げていくウサギ。非常に速いことのたとえ。
脱文,だつぶん,抜け落ちた文句・文章。
脱帽,だつぼう,１ 敬意を表して、かぶっている帽子をぬぐこと。２ 相手に敬意を示すこと。感服すること。
脱法,だっぽう,法律に触れないような方法で法律で禁止していることを行うこと。うまく法の裏をかくこと。
脱毛,だつもう,１ 毛が抜け落ちること。また、抜けた毛髪。抜け毛。２ 美容のために不要な部分の毛を抜いて取り除くこと。
脱落,だつらく,１ 必要なものが抜け落ちること。２ 書籍などの印刷物で、あるページや行、ある一節・語句が欠けること。 ３ 仲間や集団についていけなくなること。落伍。
脱力,だつりょく,からだから力が抜けて、ぐったりしてしまうこと。また、意欲・気力が衰えること。
脱輪,だつりん,１ 自動車・飛行機などの車輪が、走行中に外れること。２ 自動車などが、走行中に道路の外に車輪を踏み外すこと。落輪。３ 列車が脱線すること。
伊達,だて,１ 意気や侠気(きょうき)をひけらかすこと。また、そのさま。２ 人目を引くはでな服装や振る舞いをすること。見えを張ること。また、そのさま。３ 好みがしゃれていること。考え方がさばけていること。また、そのさま。粋(いき)。４ 北海道南西部、内浦湾に面する市。もと中心部は紋鼈(もんべつ)といった。明治初年に伊達支藩の亘理(わたり)藩の藩主と家臣団が入植し、その旧邸は現在、開拓記念館。野菜栽培が盛ん。平成18年（2006）3月、大滝村を編入。５ 福島県北東部、福島盆地東半を占める市。奥州伊達氏発祥の地。モモなど果樹農業が盛ん。平成18年（2006）1月、伊達町・梁川(やながわ)町・保原(ほばら)町・霊山(りょうぜん)町・月舘町が合併して成立。６ 鎌倉から江戸にかけての御家人、大名。藤原北家の流。朝宗の時、源頼朝の奥州征伐に従った功により、当時の陸奥(むつ)の伊達郡を与えられ、伊達氏を称したのが始め。のち、政宗のとき東北一の大名となった。伊予の伊達氏は分家。７ ニッカウヰスキーが製造するウイスキーの商品名。宮城県・宮城峡蒸溜所でのみ製造される数量限定のブレンデッドウイスキー。
打電,だでん,電報・電信を打つこと。
妥当,だとう,実情によくあてはまっていること。適切であること。また、そのさま。
打倒,だとう,うちたおすこと。うちまかすこと。
打破,だは,１ 攻撃して負かすこと。２ 束縛・抵抗・妨害などを取り除くこと。
駄馬,だば,１ 荷物を運ぶ馬。荷馬(にうま)。２ 下等な馬。だうま。
荼毘,だび,死体を焼いて弔うこと。火葬。
駄文,だぶん,１ つまらない文章。へたくそな文章。２ 自分の文章を謙遜していう語。
駄弁,だべん,用もないことをべらべらしゃべること。むだなおしゃべり。
拿捕,だほ,１ とらえること。２ 軍艦などが一定の外国船舶を支配下におくこと。
打撲,だぼく,からだを強く打ちつけたり、たたいたりすること。
駄本,だほん,読む価値のない書物。
駄目,だめ,１ よくない状態にあること。また、用をなさない状態にあること。また、そのさま。２ 効果がないこと。また、そのさま。むだ。３ しようとしてもできないこと。また、そのさま。不可能。４ してはいけないこと。５ 囲碁で、両者の境にあってどちらの所有にもならない目。６ 演劇などで、演出・演技などの悪い点についての注意や注文。
堕落,だらく,１ 生活がくずれ、品行がいやしくなること。節操を失うこと。身をもちくずすこと。２ 物事がその本来あるべき正しい姿や価値を失うこと。３ おちぶれること。零落。４ 落ちること。墜落。５ 仏語。道心を失って悪道に落ちること。
誰彼,だれかれ,不定称の人代名詞。特定しない複数の人をいう語。あの人、この人。
誰某,だれそれ,不定称の人代名詞。具体的な名をあげないで人をさしたり、名のわからないときに人をさしたりすること。
誰誰,だれだれ,１ 具体的でなく、漠然と二人以上の人をさす語。だれとだれ。２ なんとかいう人。だれそれ。
弾圧,だんあつ,おさえつけること。特に、支配者が権力を行使して反対勢力の活動を抑圧すること。
断案,だんあん,１ ある事柄について最終的に決定された考え・方法・態度。２ 論理学で、推論において前提から導き出された判断。終結。断案。
段位,だんい,柔道・剣道・囲碁・将棋などで、技量の等級を表す位。
団員,だんいん,団体を構成する人。団に所属する人。
弾雨,だんう,弾丸が雨のように激しく飛んでくること。また、その弾丸。
檀家,だんか,一定の寺に属し、寺に金品を寄進している家。檀越(だんおつ)。だんけ。
団塊,だんかい,１ かたまり。２ 堆積岩(たいせきがん)中に存在する、周囲より硬いかたまり。
段階,だんかい,１ 階段。２ ある基準によって区切った能力や品質などの順序。等級。３ 物事の順序。４ 物事が進行していく途中で区切られた一つの状態。
弾劾,だんがい,１ 犯罪や不正をはっきりさせて、責任をとるように求めること。２ 法令によって身分保障のある公務員の非行に対し、国会の訴追によって罷免または処罰する手続き。日本では裁判官・人事官について弾劾制度があり、その手続きを、裁判官の場合は裁判官弾劾裁判所、人事官の場合は最高裁判所が行う。
断崖,だんがい,垂直に切り立ったがけ。きりぎし。
弾丸,だんがん,１ 銃弾や砲弾の総称。２ 鉄砲のたまのように速いことのたとえ。３ 古代中国で、小鳥などを捕らえるために、はじき弓につけて飛ばしたたま。はじきだま。
断機,だんき,織りかけた機(はた)の糸をたち切ること。
談義,だんぎ,１ 話し合うこと。相談すること。２ 物事の意義・内容などをやさしく説くこと。また、その話。３ 意見すること。教えさとすこと。こごと。４ 仏法の因果の道理を説くこと。また、その話。法談。
弾弓,だんぐう,１ 繰り綿をはじき打って柔らかにする弓の形をした器具。綿弓(わたゆみ)。唐弓(とうゆみ)。２ 矢の代わりに弾丸を弦(つる)ではじき、射る弓。はじきゆみ。だんきゅう。だんぐ。
団結,だんけつ,多くの人が共通の目的のために一つにまとまること。
断言,だんげん,確信をもってきっぱりと言いきること。
断固,だんこ,周囲の状況や意見に左右されないさま。態度などがきっぱりとしているさま。
断交,だんこう,交際をやめること。特に、国家間の交流を絶つこと。
断行,だんこう,困難や反対を押しきって強い態度で実行すること。
檀香,だんこう,香木の栴檀(せんだん)・白檀・紫檀などの総称。
談合,だんごう,１ 話し合うこと。相談。２ 「談合行為」「入札談合」のこと。
断獄,だんごく,１ 罪を裁くこと。断罪。２ 罪を裁いて斬罪に処すること。打ち首。死罪。
弾痕,だんこん,弾丸の当たったあと。
断裁,だんさい,紙などを、たち切ること。また、不要の書類などを切断・破棄すること。裁断。
断罪,だんざい,１ 罪をさばくこと。罪に対して判決を下すこと。断獄。２ 斬首の刑。斬罪。うちくび。
男子,だんし,１ 男の子。男児。２ 男性。おとこ。また、一人前のおとこ。
男児,だんじ,１ 男の子。２ 成人の男性。また、一人前の男性。３ 兵庫の日本酒。蔵元の「櫻井酒造」は大正12年(1923)創業。所在地は明石市大久保町八木。
断食,だんじき,修行・祈願などの目的で、一定の期間、自発的に食物を断つこと。
断酒,だんしゅ,きっぱりと酒をやめること。禁酒。
断章,だんしょう,１ 詩や文章の断片。詩や文章から抜き出した一部分。２ 作者の本意や詩文全体の意味に関係なく、その中から自分の役に立つ章句だけを抜き出して用いること。
男妾,だんしょう,情夫として女に養われている男。おとこめかけ。
談笑,だんしょう,打ち解けて楽しく語り合うこと。
壇上,だんじょう,演壇・教壇などの上。
壇場,だんじょう,修法壇や戒壇などの壇を設けてある場所。
暖色,だんしょく,暖かい感じを与える色。赤・橙・黄の系統の色。
断水,だんすい,水道の給水が止まること。また、水道の給水を止めること。
弾性,だんせい,外力で変形した物体が、力を取り去るともとに戻ろうとする性質。
男性,だんせい,１ おとこ。男子。一般に成年の男子をいう。２ インド‐ヨーロッパ語系の文法で、名詞・代名詞・形容詞などの性の区別の一。女性・中性に対する。
男声,だんせい,声楽で、男性による声部。テノール・バリトン・バスなど。
断絶,だんぜつ,１ 長く受け継がれてきた事が切れて続かなくなること。とだえること。２ 子孫が絶えること。家が廃絶すること。３ 近世、主家が臣家との縁を切り所領を没収すること。とりつぶすこと。４ 人と人、国と国との間でのつながりや結びつきが切れること。５ 執着している思いを断ちきること。
断線,だんせん,１ 線や糸の切れること。また、切れた線。２ 電線・電話線などが切れて通じなくなること。
断然,だんぜん,１ きっぱりと心を決めるさま。２ （あとに打消しの語を伴って）決して。絶対に。３ ずばぬけて。なみはずれて。４ 態度のきっぱりとしているさま。また、最後まで押しきって物事をやり遂げるさま。
断層,だんそう,１ 地層や岩石が割れ目を生じ、それを境にして両側に食い違いを生じているもの。また、その割れ目。２ 意見や考え方などの大きなずれや食い違い。
断想,だんそう,折に触れて浮かんでくる断片的な考え。また、それを記したもの。
男装,だんそう,女性が、男性の服装をしたり男性に扮装したりすること。
断続,だんぞく,時々とぎれながら続くこと。
団体,だんたい,１ ある目的のために、人々が集まって一つのまとまりとなったもの。２ 二人以上の者が共同の目的を達成するために結合した集団。法人・政党など。
段段,だんだん,１ いくつかの段のあるもの。また特に、階段。２ 事柄の一つ一つ。条々。次第。３ いくつかに切れること。きれぎれ。４ 順を追ってゆっくりと変化してゆくさま。しだいしだいに。５ 次から次へと続くさま。かずかず。あれやこれや。６ いろいろとありがとう。
団地,だんち,住宅を計画的、集団的に建てた区域。また、それに似た体裁で集団的に開発された工場・倉庫などの区域。
暖地,だんち,気候の暖かい地方。
団長,だんちょう,団と名の付く集団を統率・代表する人。
断腸,だんちょう,はらわたを断ち切ること。はらわたがちぎれるほど、悲しくつらいこと。
断定,だんてい,１ 物事にはっきりした判断をくだすこと。また、その判断。２ 文法で、ある事物に対して、何であるか、どんなであるかを判断することを表す言い方。文語では助動詞「なり」「たり」、口語では助動詞「だ」「です」や「である」「であります」などの語を付けて言い表す。指定。
断頭,だんとう,首を切り落とすこと。くびきり。
弾道,だんどう,発射された弾丸が目標に達するまでに描く軌跡。
断熱,だんねつ,外部との熱の出入りをさえぎること。
断髪,だんぱつ,１ 髪を切ること。長髪を短く刈ったり、髷(まげ)を切り落としたりすること。２ 髪を首筋のあたりで切りそろえた女性の髪形。昭和初期に流行。ボブスタイル。
談判,だんぱん,事件やもめごとに決着をつけるために相手方と話し合うこと。交渉。
断碑,だんぴ,割れて欠けた石碑。
断筆,だんぴつ,文筆活動をやめること。筆を折る。
断片,だんぺん,あるまとまったものの、一部分。きれはし。
断編,だんぺん,文章や文書の一部分。きれはし。
暖房,だんぼう,建物や部屋の内部を暖めること。また、その装置。
弾幕,だんまく,多数の弾丸を一斉に発射し、弾丸の幕を張ったようにすること。
段幕,だんまく,紅白や5色の布を、横になん段か縫い合わせた幕。
断滅,だんめつ,絶えてなくなること。また、絶やし滅ぼすこと。滅亡。
断面,だんめん,１ 切り口の面。切断面。２ 普段は隠されていて、ある視点から見た時に表れる姿・形。３ 立体と平面との交わりの面。
弾薬,だんやく,弾丸とそれを発射するための火薬の総称。
段落,だんらく,１ 長い文章を内容などからいくつかに分けた区切り。形式的に、1字下げて書きはじめる一区切りをいうこともある。段。パラグラフ。２ 物事の区切り。切れ目。
団欒,だんらん,１ 月などがまるいこと。また、まるいもの。２ 集まって車座に座ること。まどい。３ 親しい者たちが集まって楽しく時を過ごすこと。
暖流,だんりゅう,１ まわりの海水より温度の高い海流。塩分は高く、プランクトンは少ない。黒潮・対馬海流・メキシコ湾流など。２ 沖縄の泡盛。酒名は、進貢船(しんこうせん)が暖流に乗り交易していた琉球交易時代のロマンや華やかさをイメージして命名。昭和43年(1968)に発売された樫樽貯蔵泡盛の先駆け。3年以上熟成させた古酒。古酒をブレンドした一般酒もある。原料はタイ米、黒麹。アルコール度数25％、30％、35％。蔵元の「神村酒造」は明治15年(1882)那覇で創業。平成11年(1999)石川高原の麓に移転。
弾力,だんりょく,１ 外力が加わって変形した物体が、もとの形に戻ろうとする力。２ 圧迫をはね返そうとする力。また、事情や状態に応じるために自在に変化できる力。
断裂,だんれつ,切れて裂けること。
暖炉,だんろ,火をたいて部屋を暖める炉。特に、壁に設けたもの。
談論,だんろん,談話と議論。また、互いに意見を述べて話し合うこと。
談話,だんわ,１ 話をすること。会話。はなし。２ ある事柄に関して、非公式にまたは形式ばらずに意見を述べること。また、その内容。
大悪,だいあく,大きな悪事。極悪(ごくあく)。また、大悪人。
台網,だいあみ,建て網の中で規模の大きいもの。マグロ・ブリなどの大形の回遊魚を対象とする。大謀(だいぼう)網・大敷(おおしき)網がある。
代位,だいい,１ 他人に代わってその地位に就くこと。２ 他人の法律上の地位に代わって、その人の権利を取得し、行使すること。
題意,だいい,１ 作品などの題に込められている意味。２ 出題のねらい。
台石,だいいし,建築物などの土台として据える石。土台石。礎石。
代印,だいいん,本来印を押すべき人の代わりに、別の人がその印を押すこと。また、その印。
大会,だいえ,規模の大きい法会。大法会。
代詠,だいえい,当人に代わって詩歌を作ること。また、その詩歌。
題詠,だいえい,あらかじめ決められた題によって詩歌を作ること。また、その作品。
台襟,だいえり,洋服の襟の土台となる、首回りを覆う帯状の部分。
大円,だいえん,１ 大きな円。２ 球面を中心を通る平面で切ったときにできる切り口の円。
大王,だいおう,勢力や功績のある王に対する敬称。
大黄,だいおう,タデ科の多年草の数種の総称。中国西部の高山に自生し、高さ約2.5メートル。葉は大きく、手のひら状に裂けている。夏、緑白色の多数の花が総状に咲く。根茎は肥大し、乾燥したものを漢方で緩下剤・健胃剤にする。日本でもカラダイオウが栽培される。
大恩,だいおん,大きな恩。深い恩。厚恩。
台下,だいか,１ 高殿の下。楼下。２ 身分の高い人を敬っていう語。閣下。３ 手紙の脇付(わきづけ)の一。相手に対する敬意を表す。
題画,だいが,内容に合わせて詩や文を書き添えた絵。また、詩や文の内容を表した絵。
大角,だいかく,北斗七星の南東に橙色に輝く、牛飼い座のα(アルファ)星アルクトゥルスの中国名。麦星(むぎぼし)。
題額,だいがく,１ 額に漢詩などを書くこと。また、その額。２ 寺号や氏名などを記して戸口や門などに掲げた額。
大寒,だいかん,二十四節気の一。1月20日ごろ。このころ、寒さが一年のうちで最も厳しい。
大巻,だいかん,巻数や紙数の多い書物。
代願,だいがん,他の人に代わって神仏に祈願すること。また、その人。
台鉋,だいがんな,樫(かし)の台木のついた鉋。現在普通に用いられる鉋。室町時代に作られ、それ以前の突き鉋・槍(やり)鉋に対していう。
大弓,だいきゅう,長さ7尺5寸（約2.25メートル）の普通の弓。半弓・楊弓(ようきゅう)などに対していう。
大経,だいきょう,宗派で重要とされる経典。天台宗では涅槃(ねはん)経、浄土教では無量寿経をさす。
第九,だいく,ベートーベン作曲の交響曲第9番ニ短調の通称。1824年完成。第4楽章にシラーの詩による独唱および合唱が付いている。
題句,だいく,１ 題を与えられて作る句。２ 巻頭に書く題目の句。
台形,だいけい,四角形のうちで、一組の対辺が平行なもの。梯形(ていけい)。
大芸,だいげい,大阪芸術大学の俗称。
代決,だいけつ,ある人の代理で決裁すること。
大検,だいけん,高等学校を卒業していないなどの理由で大学受験の資格をもたない人のために、高等学校卒業者と同等以上の学力があることを認定する試験。昭和26年（1951）から実施され、平成17年（2005）高等学校卒業程度認定試験に移行。
代言,だいげん,本人に代わり言い分を述べること。
題言,だいげん,書物の巻頭や画幅・石碑の上部に記す言葉。題詞。題言。
大悟,だいご,はっきりと理解すること。
代講,だいこう,本来行うべき人に代わって講演や講義などをすること。また、その人。
大剛,だいごう,非常に強いこと。また、その人。
大豪,だいごう,１ 大富豪。２ 大豪傑。
題号,だいごう,書物などの題目。新聞の名称。表題。
大黒,だいこく,１ もとインドで破壊を意味する暗黒の神。密教では、大自在天の眷(けん)族として三宝を守護し飲食をつかさどる神となり、忿怒(ふんぬ)相を示す。寺の厨房(ちゅうぼう)などに祭られた。２ 七福神の一。米俵の上に乗り、頭巾(ずきん)をかぶり、打ち出の小槌(こづち)を持ち、大きな袋を肩に担ぐ像で表される。中世以降、大国主命(おおくにぬしのみこと)と同一視されて広く信仰され、恵比須とともに福徳の神とされる。
台座,だいざ,１ 物を載せておく台。２ 仏像や肖像彫刻などを安置する台。仏像の台座としては須弥(しゅみ)座・蓮華(れんげ)座・禽獣(きんじゅう)座など多様な形式がある。
大鷺,だいさぎ,サギ科の鳥。全長89センチくらいで全身白色。水辺でみられる。温・熱帯地方に分布。日本では、冬鳥として本州以南に渡来する亜種と、夏鳥または漂鳥として本州以南で繁殖する亜種（チュウダイサギ）とがある。ももじろ。
代作,だいさく,その人に代わって作品をつくること。また、その作品。
代参,だいさん,本人の代わりに神社・仏閣へ参詣すること。また、その人。
第三,だいさん,１ 3番目。3回目。２ 相対する関係にある二つ以外のもの。当事者以外のもの。３ 連歌・連句で、発句(ほっく)・脇句の次に付ける第3句。脇句から場面を一転させる句で、多く「て」で止める。
大姉,だいし,１ 比丘尼(びくに)または地位のある在家の女性を敬っていう語。２ 女性の法名につける称号。男性の居士(こじ)に対するもの。
大師,だいし,１ 仏・菩薩(ぼさつ)の尊称。２ 朝廷から高僧に対して贈られる称号。死後に贈られる場合が多い。日本では貞観8年（866）に最澄が伝教大師の称号を贈られたのが最初。３ 高徳の僧の敬称。４ 弘法大師のこと。
第四,だいし,4番目。4回目。だいよん。
題詞,だいし,１ 書物の巻頭や画幅・石碑の上部に記す言葉。題詞。題言。２ 和歌や俳句の前書きとして、その作品の動機・主題・成立事情などを記したもの。万葉集のように、漢文で書かれたものは題詞(だいし)という。
題詩,だいし,１ 決められた題によって詩を作ること。また、その詩。２ 書物の巻頭に題目・標題として掲げる詩。
台辞,だいじ,１ 俳優が劇中で話す言葉。２ 人に対する言葉。言いぐさ。３ きまり文句。４ 理屈や言い分を並べること。談判すること。
大字,だいじ,１ 大きな文字。大文字。２ 漢数字の「一・二・三」などの代わりに用いる「壱・弐・参」などの文字。証書などで用いる。
大寺,だいじ,規模の大きな寺院。主に維持費などが国から支給された官寺をいう。大刹(たいさつ)。おおでら。
題辞,だいじ,書物の巻頭や画幅・石碑の上部に記す言葉。題詞。題言。
題者,だいしゃ,題を出す人。特に、詩歌の会のとき、題を選定する人。
大蛇,だいじゃ,大きなへび。おろち。
